date,year,month,ym,sido_name,y_hat,base_daily,w_today,y_day_hat,risk_score,risk_level
2024-01-01,2024,1,2024-01,강원,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,경기,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,경남,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,경북,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,광주,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,대구,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-01-01,2024,1,2024-01,대전,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,부산,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,서울,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,세종,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,울산,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,인천,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,전북,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,제주,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,충남,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,충북,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-02-01,2024,2,2024-02,강원,2863.3165969341007,98.73505506669314,1.2,118.48206608003176,100.0,Very High
2024-02-01,2024,2,2024-02,경기,2351.5980852932344,81.08958914804256,1.2,97.30750697765107,100.0,Very High
2024-02-01,2024,2,2024-02,경남,2863.3165969341007,98.73505506669314,1.2,118.48206608003176,100.0,Very High
2024-02-01,2024,2,2024-02,경북,2863.3165969341007,98.73505506669314,1.2,118.48206608003176,100.0,Very High
2024-02-01,2024,2,2024-02,광주,2351.5980852932344,81.08958914804256,1.2,97.30750697765107,100.0,Very High
2024-02-01,2024,2,2024-02,대구,2351.5980852932344,81.08958914804256,1.2,97.30750697765107,100.0,Very High
2024-02-01,2024,2,2024-02,대전,2351.5980852932344,81.08958914804256,1.2,97.30750697765107,100.0,Very High
2024-02-01,2024,2,2024-02,부산,2863.3165969341007,98.73505506669314,1.2,118.48206608003176,100.0,Very High
2024-02-01,2024,2,2024-02,서울,2351.5980852932344,81.08958914804256,1.2,97.30750697765107,100.0,Very High
2024-02-01,2024,2,2024-02,세종,2351.5980852932344,81.08958914804256,1.2,97.30750697765107,100.0,Very High
2024-02-01,2024,2,2024-02,울산,2863.3165969341007,98.73505506669314,1.2,118.48206608003176,100.0,Very High
2024-02-01,2024,2,2024-02,인천,2351.5980852932344,81.08958914804256,1.2,97.30750697765107,100.0,Very High
2024-02-01,2024,2,2024-02,전남,2863.3165969341007,98.73505506669314,1.2,118.48206608003176,100.0,Very High
2024-02-01,2024,2,2024-02,전북,2863.3165969341007,98.73505506669314,1.2,118.48206608003176,100.0,Very High
2024-02-01,2024,2,2024-02,제주,2863.3165969341007,98.73505506669314,1.2,118.48206608003176,100.0,Very High
2024-02-01,2024,2,2024-02,충남,2863.3165969341007,98.73505506669314,1.2,118.48206608003176,100.0,Very High
2024-02-01,2024,2,2024-02,충북,2863.3165969341007,98.73505506669314,1.2,118.48206608003176,100.0,Very High
2024-03-01,2024,3,2024-03,강원,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-03-01,2024,3,2024-03,경남,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-03-01,2024,3,2024-03,경북,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-03-01,2024,3,2024-03,광주,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-03-01,2024,3,2024-03,대구,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-03-01,2024,3,2024-03,대전,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-03-01,2024,3,2024-03,부산,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-03-01,2024,3,2024-03,서울,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-03-01,2024,3,2024-03,세종,1434.7887012663634,46.28350649246334,1.0,46.28350649246334,17.99097569835622,Low
2024-03-01,2024,3,2024-03,울산,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-03-01,2024,3,2024-03,인천,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-03-01,2024,3,2024-03,제주,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-03-01,2024,3,2024-03,충남,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-03-01,2024,3,2024-03,충북,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-04-01,2024,4,2024-04,강원,2863.3165969341007,95.44388656447002,1.0,95.44388656447002,100.0,Very High
2024-04-01,2024,4,2024-04,경남,2351.5980852932344,78.38660284310781,1.0,78.38660284310781,75.123253002587,Very High
2024-04-01,2024,4,2024-04,경북,2351.5980852932344,78.38660284310781,1.0,78.38660284310781,75.123253002587,Very High
2024-04-01,2024,4,2024-04,광주,2351.5980852932344,78.38660284310781,1.0,78.38660284310781,75.123253002587,Very High
2024-04-01,2024,4,2024-04,대구,2351.5980852932344,78.38660284310781,1.0,78.38660284310781,75.123253002587,Very High
2024-04-01,2024,4,2024-04,대전,2351.5980852932344,78.38660284310781,1.0,78.38660284310781,75.123253002587,Very High
2024-04-01,2024,4,2024-04,부산,2351.5980852932344,78.38660284310781,1.0,78.38660284310781,75.123253002587,Very High
2024-04-01,2024,4,2024-04,서울,2351.5980852932344,78.38660284310781,1.0,78.38660284310781,75.123253002587,Very High
2024-04-01,2024,4,2024-04,세종,1699.3188211381023,56.64396070460341,1.0,56.64396070460341,36.42895864494167,Moderate
2024-04-01,2024,4,2024-04,인천,2351.5980852932344,78.38660284310781,1.0,78.38660284310781,75.123253002587,Very High
2024-04-01,2024,4,2024-04,전북,2863.3165969341007,95.44388656447002,1.0,95.44388656447002,100.0,Very High
2024-04-01,2024,4,2024-04,제주,2863.3165969341007,95.44388656447002,1.0,95.44388656447002,100.0,Very High
2024-04-01,2024,4,2024-04,충남,2863.3165969341007,95.44388656447002,1.0,95.44388656447002,100.0,Very High
2024-04-01,2024,4,2024-04,충북,2351.5980852932344,78.38660284310781,1.0,78.38660284310781,75.123253002587,Very High
2024-05-01,2024,5,2024-05,강원,2863.3165969341007,92.36505151400326,1.0,92.36505151400326,100.0,Very High
2024-05-01,2024,5,2024-05,경기,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-05-01,2024,5,2024-05,경남,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-05-01,2024,5,2024-05,경북,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-05-01,2024,5,2024-05,광주,1794.5845749380344,57.88982499800111,1.0,57.88982499800111,38.64616110779408,Moderate
2024-05-01,2024,5,2024-05,대구,1699.3188211381023,54.81673616574523,1.0,54.81673616574523,33.177138387141376,Moderate
2024-05-01,2024,5,2024-05,대전,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-05-01,2024,5,2024-05,부산,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-05-01,2024,5,2024-05,서울,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-05-01,2024,5,2024-05,세종,1699.3188211381023,54.81673616574523,1.0,54.81673616574523,33.177138387141376,Moderate
2024-05-01,2024,5,2024-05,울산,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-05-01,2024,5,2024-05,인천,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-05-01,2024,5,2024-05,전북,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-05-01,2024,5,2024-05,제주,1794.5845749380344,57.88982499800111,1.0,57.88982499800111,38.64616110779408,Moderate
2024-05-01,2024,5,2024-05,충남,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-05-01,2024,5,2024-05,충북,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-06-01,2024,6,2024-06,강원,1794.5845749380344,59.81948583126781,0.9,53.83753724814103,31.434506975967768,Moderate
2024-06-01,2024,6,2024-06,경남,1794.5845749380344,59.81948583126781,0.9,53.83753724814103,31.434506975967768,Moderate
2024-06-01,2024,6,2024-06,경북,1794.5845749380344,59.81948583126781,0.9,53.83753724814103,31.434506975967768,Moderate
2024-06-01,2024,6,2024-06,광주,1699.3188211381023,56.64396070460341,0.9,50.97956463414307,26.34831584576075,Moderate
2024-06-01,2024,6,2024-06,대구,1699.3188211381023,56.64396070460341,0.9,50.97956463414307,26.34831584576075,Moderate
2024-06-01,2024,6,2024-06,대전,1794.5845749380344,59.81948583126781,0.9,53.83753724814103,31.434506975967768,Moderate
2024-06-01,2024,6,2024-06,부산,1794.5845749380344,59.81948583126781,0.9,53.83753724814103,31.434506975967768,Moderate
2024-06-01,2024,6,2024-06,서울,1794.5845749380344,59.81948583126781,0.9,53.83753724814103,31.434506975967768,Moderate
2024-06-01,2024,6,2024-06,세종,1699.3188211381023,56.64396070460341,0.9,50.97956463414307,26.34831584576075,Moderate
2024-06-01,2024,6,2024-06,울산,1794.5845749380344,59.81948583126781,0.9,53.83753724814103,31.434506975967768,Moderate
2024-06-01,2024,6,2024-06,인천,1794.5845749380344,59.81948583126781,0.9,53.83753724814103,31.434506975967768,Moderate
2024-06-01,2024,6,2024-06,전북,1794.5845749380344,59.81948583126781,0.9,53.83753724814103,31.434506975967768,Moderate
2024-06-01,2024,6,2024-06,제주,1794.5845749380344,59.81948583126781,0.9,53.83753724814103,31.434506975967768,Moderate
2024-06-01,2024,6,2024-06,충남,1794.5845749380344,59.81948583126781,0.9,53.83753724814103,31.434506975967768,Moderate
2024-06-01,2024,6,2024-06,충북,1794.5845749380344,59.81948583126781,0.9,53.83753724814103,31.434506975967768,Moderate
2024-07-01,2024,7,2024-07,강원,1794.5845749380344,57.88982499800111,0.9,52.100842498201,28.34379806232792,Moderate
2024-07-01,2024,7,2024-07,경남,1699.3188211381023,54.81673616574523,0.9,49.33506254917071,23.42167761374048,Low
2024-07-01,2024,7,2024-07,경북,1699.3188211381023,54.81673616574523,0.9,49.33506254917071,23.42167761374048,Low
2024-07-01,2024,7,2024-07,광주,1434.7887012663634,46.28350649246334,0.9,41.655155843217,9.754131193833844,Low
2024-07-01,2024,7,2024-07,대구,1121.4011091783173,36.174229328332814,0.9,32.556806395499535,0.0,Low
2024-07-01,2024,7,2024-07,대전,1699.3188211381023,54.81673616574523,0.9,49.33506254917071,23.42167761374048,Low
2024-07-01,2024,7,2024-07,부산,1699.3188211381023,54.81673616574523,0.9,49.33506254917071,23.42167761374048,Low
2024-07-01,2024,7,2024-07,서울,1699.3188211381023,54.81673616574523,0.9,49.33506254917071,23.42167761374048,Low
2024-07-01,2024,7,2024-07,세종,1121.4011091783173,36.174229328332814,0.9,32.556806395499535,0.0,Low
2024-07-01,2024,7,2024-07,울산,1699.3188211381023,54.81673616574523,0.9,49.33506254917071,23.42167761374048,Low
2024-07-01,2024,7,2024-07,인천,1699.3188211381023,54.81673616574523,0.9,49.33506254917071,23.42167761374048,Low
2024-07-01,2024,7,2024-07,전북,1699.3188211381023,54.81673616574523,0.9,49.33506254917071,23.42167761374048,Low
2024-07-01,2024,7,2024-07,제주,1794.5845749380344,57.88982499800111,0.9,52.100842498201,28.34379806232792,Moderate
2024-07-01,2024,7,2024-07,충남,1699.3188211381023,54.81673616574523,0.9,49.33506254917071,23.42167761374048,Low
2024-07-01,2024,7,2024-07,충북,1699.3188211381023,54.81673616574523,0.9,49.33506254917071,23.42167761374048,Low
2024-08-01,2024,8,2024-08,강원,1794.5845749380344,57.88982499800111,0.9,52.100842498201,28.34379806232792,Moderate
2024-08-01,2024,8,2024-08,경기,1794.5845749380344,57.88982499800111,0.9,52.100842498201,28.34379806232792,Moderate
2024-08-01,2024,8,2024-08,경남,1794.5845749380344,57.88982499800111,0.9,52.100842498201,28.34379806232792,Moderate
2024-08-01,2024,8,2024-08,경북,1794.5845749380344,57.88982499800111,0.9,52.100842498201,28.34379806232792,Moderate
2024-08-01,2024,8,2024-08,광주,1699.3188211381023,54.81673616574523,0.9,49.33506254917071,23.42167761374048,Low
2024-08-01,2024,8,2024-08,대구,1699.3188211381023,54.81673616574523,0.9,49.33506254917071,23.42167761374048,Low
2024-08-01,2024,8,2024-08,대전,1699.3188211381023,54.81673616574523,0.9,49.33506254917071,23.42167761374048,Low
2024-08-01,2024,8,2024-08,부산,1794.5845749380344,57.88982499800111,0.9,52.100842498201,28.34379806232792,Moderate
2024-08-01,2024,8,2024-08,서울,1794.5845749380344,57.88982499800111,0.9,52.100842498201,28.34379806232792,Moderate
2024-08-01,2024,8,2024-08,세종,1434.7887012663634,46.28350649246334,0.9,41.655155843217,9.754131193833844,Low
2024-08-01,2024,8,2024-08,울산,1794.5845749380344,57.88982499800111,0.9,52.100842498201,28.34379806232792,Moderate
2024-08-01,2024,8,2024-08,인천,1794.5845749380344,57.88982499800111,0.9,52.100842498201,28.34379806232792,Moderate
2024-08-01,2024,8,2024-08,전남,1794.5845749380344,57.88982499800111,0.9,52.100842498201,28.34379806232792,Moderate
2024-08-01,2024,8,2024-08,전북,1794.5845749380344,57.88982499800111,0.9,52.100842498201,28.34379806232792,Moderate
2024-08-01,2024,8,2024-08,제주,2336.032410221535,75.35588420069467,0.9,67.82029578062522,56.31892401881006,High
2024-08-01,2024,8,2024-08,충남,1794.5845749380344,57.88982499800111,0.9,52.100842498201,28.34379806232792,Moderate
2024-08-01,2024,8,2024-08,충북,1794.5845749380344,57.88982499800111,0.9,52.100842498201,28.34379806232792,Moderate
2024-09-01,2024,9,2024-09,강원,2336.032410221535,77.8677470073845,0.95,73.97435965701527,67.27100415754744,High
2024-09-01,2024,9,2024-09,경남,1794.5845749380344,59.81948583126781,0.95,56.82851153970442,36.75739454945862,Moderate
2024-09-01,2024,9,2024-09,경북,1794.5845749380344,59.81948583126781,0.95,56.82851153970442,36.75739454945862,Moderate
2024-09-01,2024,9,2024-09,광주,1794.5845749380344,59.81948583126781,0.95,56.82851153970442,36.75739454945862,Moderate
2024-09-01,2024,9,2024-09,대구,1699.3188211381023,56.64396070460341,0.95,53.81176266937324,31.38863724535121,Moderate
2024-09-01,2024,9,2024-09,대전,1794.5845749380344,59.81948583126781,0.95,56.82851153970442,36.75739454945862,Moderate
2024-09-01,2024,9,2024-09,부산,1794.5845749380344,59.81948583126781,0.95,56.82851153970442,36.75739454945862,Moderate
2024-09-01,2024,9,2024-09,서울,1794.5845749380344,59.81948583126781,0.95,56.82851153970442,36.75739454945862,Moderate
2024-09-01,2024,9,2024-09,세종,1699.3188211381023,56.64396070460341,0.95,53.81176266937324,31.38863724535121,Moderate
2024-09-01,2024,9,2024-09,울산,1794.5845749380344,59.81948583126781,0.95,56.82851153970442,36.75739454945862,Moderate
2024-09-01,2024,9,2024-09,인천,1794.5845749380344,59.81948583126781,0.95,56.82851153970442,36.75739454945862,Moderate
2024-09-01,2024,9,2024-09,전북,1794.5845749380344,59.81948583126781,0.95,56.82851153970442,36.75739454945862,Moderate
2024-09-01,2024,9,2024-09,제주,1794.5845749380344,59.81948583126781,0.95,56.82851153970442,36.75739454945862,Moderate
2024-09-01,2024,9,2024-09,충남,1794.5845749380344,59.81948583126781,0.95,56.82851153970442,36.75739454945862,Moderate
2024-09-01,2024,9,2024-09,충북,1794.5845749380344,59.81948583126781,0.95,56.82851153970442,36.75739454945862,Moderate
2024-10-01,2024,10,2024-10,강원,2351.5980852932344,75.85800275139465,0.95,72.06510261382492,63.873194748598735,High
2024-10-01,2024,10,2024-10,경기,1699.3188211381023,54.81673616574523,0.95,52.07589935745797,28.299408000440927,Moderate
2024-10-01,2024,10,2024-10,경남,1699.3188211381023,54.81673616574523,0.95,52.07589935745797,28.299408000440927,Moderate
2024-10-01,2024,10,2024-10,경북,1699.3188211381023,54.81673616574523,0.95,52.07589935745797,28.299408000440927,Moderate
2024-10-01,2024,10,2024-10,광주,1434.7887012663634,46.28350649246334,0.95,43.96933116784017,13.872553446095026,Low
2024-10-01,2024,10,2024-10,대구,1434.7887012663634,46.28350649246334,0.95,43.96933116784017,13.872553446095026,Low
2024-10-01,2024,10,2024-10,대전,1699.3188211381023,54.81673616574523,0.95,52.07589935745797,28.299408000440927,Moderate
2024-10-01,2024,10,2024-10,부산,1699.3188211381023,54.81673616574523,0.95,52.07589935745797,28.299408000440927,Moderate
2024-10-01,2024,10,2024-10,서울,1699.3188211381023,54.81673616574523,0.95,52.07589935745797,28.299408000440927,Moderate
2024-10-01,2024,10,2024-10,세종,1434.7887012663634,46.28350649246334,0.95,43.96933116784017,13.872553446095026,Low
2024-10-01,2024,10,2024-10,울산,1434.7887012663634,46.28350649246334,0.95,43.96933116784017,13.872553446095026,Low
2024-10-01,2024,10,2024-10,인천,1699.3188211381023,54.81673616574523,0.95,52.07589935745797,28.299408000440927,Moderate
2024-10-01,2024,10,2024-10,전북,1699.3188211381023,54.81673616574523,0.95,52.07589935745797,28.299408000440927,Moderate
2024-10-01,2024,10,2024-10,제주,1699.3188211381023,54.81673616574523,0.95,52.07589935745797,28.299408000440927,Moderate
2024-10-01,2024,10,2024-10,충남,2351.5980852932344,75.85800275139465,0.95,72.06510261382492,63.873194748598735,High
2024-10-01,2024,10,2024-10,충북,2351.5980852932344,75.85800275139465,0.95,72.06510261382492,63.873194748598735,High
2024-11-01,2024,11,2024-11,강원,2863.3165969341007,95.44388656447002,0.95,90.67169223624651,96.98641306197406,Very High
2024-11-01,2024,11,2024-11,경남,2351.5980852932344,78.38660284310781,0.95,74.46727270095242,68.1482168851143,High
2024-11-01,2024,11,2024-11,경북,2351.5980852932344,78.38660284310781,0.95,74.46727270095242,68.1482168851143,High
2024-11-01,2024,11,2024-11,광주,1699.3188211381023,56.64396070460341,0.95,53.81176266937324,31.38863724535121,Moderate
2024-11-01,2024,11,2024-11,대구,1699.3188211381023,56.64396070460341,0.95,53.81176266937324,31.38863724535121,Moderate
2024-11-01,2024,11,2024-11,대전,2351.5980852932344,78.38660284310781,0.95,74.46727270095242,68.1482168851143,High
2024-11-01,2024,11,2024-11,부산,2351.5980852932344,78.38660284310781,0.95,74.46727270095242,68.1482168851143,High
2024-11-01,2024,11,2024-11,서울,2351.5980852932344,78.38660284310781,0.95,74.46727270095242,68.1482168851143,High
2024-11-01,2024,11,2024-11,세종,1699.3188211381023,56.64396070460341,0.95,53.81176266937324,31.38863724535121,Moderate
2024-11-01,2024,11,2024-11,울산,2351.5980852932344,78.38660284310781,0.95,74.46727270095242,68.1482168851143,High
2024-11-01,2024,11,2024-11,인천,2351.5980852932344,78.38660284310781,0.95,74.46727270095242,68.1482168851143,High
2024-11-01,2024,11,2024-11,전북,2351.5980852932344,78.38660284310781,0.95,74.46727270095242,68.1482168851143,High
2024-11-01,2024,11,2024-11,제주,2351.5980852932344,78.38660284310781,0.95,74.46727270095242,68.1482168851143,High
2024-11-01,2024,11,2024-11,충남,2351.5980852932344,78.38660284310781,0.95,74.46727270095242,68.1482168851143,High
2024-11-01,2024,11,2024-11,충북,2351.5980852932344,78.38660284310781,0.95,74.46727270095242,68.1482168851143,High
2024-12-01,2024,12,2024-12,강원,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-12-01,2024,12,2024-12,경남,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,경북,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,광주,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,대구,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,대전,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,부산,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,서울,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,세종,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,울산,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,인천,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,전남,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,전북,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-12-01,2024,12,2024-12,제주,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,충북,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
